K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,MLE,0.019218596379924284,0.0,0.019218596379924284,0.21523678747533162,1
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,adaptive,0.022692074448617,0.0,0.022692074448617,0.2541376648386963,1
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,add-half,0.744446253040981,0.0,0.744446253040981,8.337352883895669,1
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,add-one,1.1591261293781578,0.0,1.1591261293781578,12.98151953629057,1
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,cesaro,0.02302066662385501,0.0,0.02302066662385501,0.2578177007159074,1
100,10000,2,10,10.0,5.95,75.91850093038775,0.08929048145232578,support-oracle,0.00781396054129665,0.0,0.00781396054129665,0.08751168561532173,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,MLE,0.00030810436629952166,0.0,0.00030810436629952166,0.003311514726522768,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,adaptive,0.001475543678603669,0.0,0.001475543678603669,0.01585918654776044,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,add-half,0.035954218765452774,0.0,0.035954218765452774,0.38643699325790104,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,add-one,0.07075165085399104,0.0,0.07075165085399104,0.7604408095308199,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,cesaro,0.00690788037817011,0.0,0.00690788037817011,0.07424610003458916,1
100,9474,2,10,10.0,5.95,75.16327951022713,0.09304031289120807,support-oracle,0.0006823772459570183,0.0,0.0006823772459570183,0.007334210566928351,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,MLE,0.0008128263863398507,0.0,0.0008128263863398507,0.008364214657907813,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,adaptive,0.0020769888749632695,0.0,0.0020769888749632695,0.021372806154223038,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,add-half,0.03879443733269271,0.0,0.03879443733269271,0.3992057920813166,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,add-one,0.07568438965101443,0.0,0.07568438965101443,0.778813891788622,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,cesaro,0.0067827635391862744,0.0,0.0067827635391862744,0.06979656562461063,1
100,8948,2,10,10.0,5.95,74.37692896954957,0.0971790442479112,support-oracle,0.002285528275795408,0.0,0.002285528275795408,0.02351873589088662,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,MLE,0.0009036713113807727,0.0,0.0009036713113807727,0.00887659208700232,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,adaptive,0.0022658577650933108,0.0,0.0022658577650933108,0.02225709154932456,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,add-half,0.041267927171593104,0.0,0.041267927171593104,0.4053670302077329,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,add-one,0.08035948536664086,0.0,0.08035948536664086,0.7893560002819849,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,cesaro,0.0073098967999064655,0.0,0.0073098967999064655,0.07180373137187311,1
100,8423,2,10,10.0,5.95,73.5920733918771,0.10180385698966463,support-oracle,0.002500185844738813,0.0,0.002500185844738813,0.024558851881148647,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,MLE,0.019218596379924284,0.0,0.019218596379924284,0.1795659009146241,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,adaptive,0.004487011187906717,0.0,0.004487011187906717,0.041923675925267634,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,add-half,0.04335139754825762,0.0,0.04335139754825762,0.4050468932680491,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,add-one,0.08439061561751986,0.0,0.08439061561751986,0.788490305042735,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,cesaro,0.008338088376393105,0.0,0.008338088376393105,0.07790560359427674,1
100,7897,2,10,10.0,5.95,72.80572285119945,0.10702809543478917,support-oracle,0.00022989066089397004,0.0,0.00022989066089397004,0.0021479468541420457,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,MLE,0.0005657282468737714,0.0,0.0005657282468737714,0.005007953511446328,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,adaptive,0.0021599033515936087,0.0,0.0021599033515936087,0.019119949611445496,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,add-half,0.046551698037342604,0.0,0.046551698037342604,0.4120860871596466,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,add-one,0.09081074706071339,0.0,0.09081074706071339,0.8038771302880272,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,cesaro,0.008576469908022692,0.0,0.008576469908022692,0.07592083801549931,1
100,7371,2,10,10.0,5.95,72.01937231052185,0.11296595417284246,support-oracle,0.00239233923642347,0.0,0.00239233923642347,0.021177524272163406,1
