K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,add-one,1.5702171992808192
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,add-half,1.0788096613719298
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,adaptive,0.03882079313195429
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,cesaro,0.17543207283610587
100,500,2,1.44,52.05862499999999,0.9912178238741882,1,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,add-one,1.1631508098056809
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,add-half,0.7478055930978094
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,adaptive,0.022245608947319737
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,cesaro,0.08931430857571335
100,500,2,1.44,52.05862499999999,0.9912178238741882,2,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,add-one,1.1053919756534885
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,add-half,0.7034036807271344
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,adaptive,0.020410975567777646
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,cesaro,0.0948370491197249
100,500,2,1.44,52.05862499999999,0.9912178238741882,3,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,add-one,1.091923300517313
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,add-half,0.6931471805599453
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,adaptive,0.01999864650668997
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,cesaro,0.09426058825340938
100,500,2,1.44,52.05862499999999,0.9912178238741882,4,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,MLE,9.900302800282451e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,add-one,1.8718021769015913
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,add-half,1.3424917384614978
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,adaptive,0.05657035148839423
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,cesaro,0.25417449780745066
100,500,2,1.44,52.05862499999999,0.9912178238741882,5,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,MLE,9.900524844887398e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,6,add-one,2.8622008809294686
