K,n,max_support,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,2000,2,1.48,7.463411892361374,0.05519647428013815,MLE,0.0001882726201509921,4.5600588796288497e-05,1.127352649787916e-06,0.0034109537358392463,100
100,2000,2,1.48,7.463411892361374,0.05519647428013815,adaptive,0.0016622205516847821,4.57835417815434e-05,0.0014965915155483733,0.030114614626443884,100
100,2000,2,1.48,7.463411892361374,0.05519647428013815,add-half,0.05179820557550235,0.0017475914284229052,0.036823768259458656,0.9384332287713052,100
100,2000,2,1.48,7.463411892361374,0.05519647428013815,add-one,0.10053956256361847,0.0033336404034359905,0.07169903394174215,1.8214852284468563,100
100,2000,2,1.48,7.463411892361374,0.05519647428013815,cesaro,0.010426591429504188,8.676727771307063e-05,0.01026080788290234,0.18889959124175587,100
100,2000,2,1.48,7.463411892361374,0.05519647428013815,support-oracle,0.00018798846265052793,4.553121362180816e-05,1.1255639779106374e-06,0.003405805626215034,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,MLE,1.990154041762585e-10,2.0391062640854322e-16,1.9901591487885012e-10,1.5635318766959139e-09,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,adaptive,0.0019122636936180514,2.717021626498474e-05,0.0019919826807932306,0.01502338602378785,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,add-half,0.17471374406174708,0.0023654120829656677,0.18165400002684115,1.3726098704173615,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,add-one,0.32275826239031935,0.004186823136184848,0.3350426438116185,2.5356973436453694,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,cesaro,0.013119195093111886,0.00016724949132193898,0.013609914781307067,0.10306880419420347,100
200,1000,2,1.53,8.339888461183659,0.12728579899299639,support-oracle,0.0,0.0,-0.0,0.0,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,MLE,9.900682718601524e-11,1.6082917017969501e-16,9.900746889492345e-11,6.966930834941795e-10,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,adaptive,0.0030841513783770418,0.00010068126986602572,0.003967861561385627,0.021702613797807177,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,add-half,0.14246584580705865,0.004391407238976383,0.18098465819911308,1.0025063142508805,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,add-one,0.26544717405281676,0.007776023296932442,0.3336110043401807,1.8679036128308053,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,cesaro,0.01959199478711039,0.0005547405099898936,0.024455281593047995,0.1378653134130718,100
100,1000,2,1.44,10.609474378881975,0.14210967430515964,support-oracle,0.0,0.0,-0.0,0.0,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,MLE,1.9900237015794664e-10,3.637146606034689e-26,1.99002370157947e-10,6.738318201140446e-10,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,adaptive,0.0004977331619168032,1.0936773176817514e-07,0.0004976237941850359,0.0016853489843328135,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,add-half,0.04857430446766828,1.0412933908286387e-05,0.048563891533759986,0.1644749857212475,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,add-one,0.0948753953488801,1.9864336201328003e-05,0.09485553101267877,0.3212527583527505,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,cesaro,0.004077039183322831,1.2158959649625347e-09,0.004077037967426865,0.013805055343784293,100
200,2000,5,2.99,47.313470998967944,0.29532943416692004,support-oracle,0.0,0.0,-0.0,0.0,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,MLE,9.900125164598468e-11,2.4680637683806818e-26,9.900125164598493e-11,2.9671230076694766e-10,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,adaptive,0.002412502028815312,0.00040196545016182617,0.001981962791312462,0.0072304038148365436,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,add-half,0.1061405549959177,0.010436294596775737,0.09449084342092241,0.31810919310530544,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,add-one,0.19740734633385837,0.014642583077829393,0.1806534996932576,0.5916408827684999,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,cesaro,0.013893914195465236,0.0003433630462046324,0.013541058100399805,0.041640839676820855,100
100,500,40,20.14,13.682851395546159,0.3336607595643468,support-oracle,0.0,0.0,-0.0,0.0,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,MLE,0.04816420005076197,0.046054417014199794,1.9901347238819545e-10,0.07638546351048113,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,adaptive,0.08050617075734738,0.04672732922447325,0.008257137016059912,0.1276778429263383,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,add-half,0.8213403490452188,0.08560399232855759,0.6001131160794007,1.3025953549640001,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,add-one,1.15287671029733,0.09685099560111962,0.9699752642968953,1.8283916642171463,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,cesaro,0.1545803261278808,0.049737450383698305,0.046784304006683146,0.24515490444012292,100
200,2000,2,1.455,118.42242367554094,0.6305414386096273,support-oracle,0.0014707804208085916,0.0009323329808059805,-0.0,0.0023325674265782274,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,MLE,0.29278212512608565,0.13750505787590528,0.009945526690905537,0.30115516052777014,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,adaptive,0.15507666187258073,0.024319506996526557,0.09939339847079959,0.15951157189065301,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,add-half,0.9652462604016372,0.040952381768584144,0.8807364393657202,0.9928505450081717,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,add-one,1.373413583569331,0.04523557340964597,1.3112626717167686,1.4126907100381279,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,cesaro,0.329439543815952,0.03279576265945173,0.23949514661738225,0.3388609146113783,100
100,2000,5,3.0,250.4012037267597,0.9721969386577641,support-oracle,0.0337403178067781,0.006545792343436489,0.009091163859035467,0.034705229429502944,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,MLE,0.14724821506896038,0.1311223079236768,9.900613662729377e-11,0.14855283220537616,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,adaptive,0.13128995480556044,0.026015626932683035,0.05657035148839423,0.13245318197811645,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,add-half,1.2653422955127849,0.06164667545069234,1.0995447253282224,1.276553210642619,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,add-one,1.7332860832471046,0.06318086942131923,1.5853890364432384,1.7486429738243938,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,cesaro,0.30099852667447663,0.031209855859442075,0.18626928608421706,0.3036653694321394,100
100,500,2,1.44,52.05862499999999,0.9912178238741882,support-oracle,0.016988435191906823,0.004442766721748269,0.0,0.017138952491297318,100
100,2000,10,5.7,537.0633285179498,1.675371952380915,MLE,1.2820263123304654,0.30656618690946746,0.09518589019765689,0.7652189178101879,100
100,2000,10,5.7,537.0633285179498,1.675371952380915,adaptive,0.3861112506215697,0.040674105084970685,0.2800053088152321,0.2304630026024113,100
100,2000,10,5.7,537.0633285179498,1.675371952380915,add-half,1.1150831601648852,0.03608928675107639,1.0744210691798228,0.6655734916537258,100
100,2000,10,5.7,537.0633285179498,1.675371952380915,add-one,1.4873876027763973,0.036026446094001255,1.4771538394262005,0.8877954538170654,100
