K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,MLE,2.8253931511605725,2.47663114556406,0.7141993339028725,1.5139241747780081,3
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,adaptive,0.47381374648339997,0.328124689681463,0.26285880891764724,0.25388257377516066,3
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,add-half,1.0548119999253383,0.3661423030525614,0.7902413317491194,0.5651975852907251,3
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,add-one,1.4124728355114966,0.3651123610698789,1.1493329956840375,0.7568422012418787,3
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,cesaro,0.6073734905023276,0.267754406421436,0.5773096077628873,0.32544759656300193,3
80,800,2,10,2.0,6.175,225.93500801902422,1.8662712427951482,oracle,0.05794061449486545,0.028515620205081967,0.0829095161972177,0.031046191553638657,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,MLE,5.866076624455023,3.7573933793769196,4.58312051515623,2.2340112825444907,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,adaptive,0.7471140272382705,0.3624654306231768,0.6273606173451522,0.2845276788986044,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,add-half,1.324109038718527,0.2330856411771127,1.1428535163998896,0.5042679666822701,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,add-one,1.6389532604595602,0.18159252646784818,1.6052970724345812,0.6241718800885756,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,cesaro,0.94238321874078,0.39302624110310075,0.711605174719412,0.3588931543053418,3
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,oracle,0.1311655690327639,0.034350162274430524,0.10074387760030512,0.04995252872745859,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,MLE,8.050095806352243,6.501651302227154,3.2142494198960225,2.965239559224737,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,adaptive,2.164550106899458,1.058581690398527,3.2142494198960225,0.7973084742466927,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,add-half,2.2895945871706105,0.8856020844084961,3.135561188207729,0.8433684030328986,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,add-one,2.4175395084071583,0.7878136410250476,3.1964232653531393,0.8904967044815763,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,cesaro,2.2268575790476715,1.04139024608414,3.2142494198960145,0.8202593292046407,3
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,oracle,0.6435123093012212,0.3171890860605702,0.9116643269019762,0.23703670146165604,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,MLE,4.793272569928738,2.6857265087006335,4.963053785115265,1.6552330426590698,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,adaptive,0.8179430120400816,0.2701949792911708,0.8444814291616064,0.2824555208970636,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,add-half,1.6099465832920459,0.1876632526541097,1.6285085338512824,0.5559535250090493,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,add-one,1.9162682546455867,0.2615631719070801,1.8273517488648912,0.6617338128416002,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,cesaro,1.0943548944297874,0.2626471813967379,1.1359706794807887,0.3779072346146158,3
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,oracle,0.14759458893241825,0.057863688382867165,0.1579906898957095,0.05096798418084816,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,MLE,2.0786796135795105,1.2006069162758175,2.0770154815587047,0.5927175924549781,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,adaptive,0.6329429198845916,0.18603673868182802,0.7093316424129492,0.18047822338017522,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,add-half,1.745094213323031,0.09990779104664864,1.8000626531860473,0.4975985880511819,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,add-one,2.128325086825159,0.13874398330471033,2.1068109349696744,0.6068735716574571,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,cesaro,1.2397976016287255,0.2905265753677136,0.9634918418533459,0.3535176102984982,3
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,oracle,0.10063201884773032,0.06493098671031981,0.07793552895481105,0.02869435363951973,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,MLE,9.330825614984404,5.164059758214296,9.848054724828568,2.23077095425197,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,adaptive,1.277651834456803,0.505554645336003,1.189314684487743,0.3054551354358096,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,add-half,1.5695508368374897,0.30804613237889533,1.5304597536984934,0.37524100894310813,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,add-one,1.7703607035056368,0.2416174086828058,1.7068882065137543,0.423249710035017,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,cesaro,1.3726398130677842,0.4118810096656323,1.5260060055841471,0.32816442531345974,3
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,oracle,0.16153768753677905,0.04188551523768228,0.16521880177643505,0.03861968878674403,3
