K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,MLE,0.01758562698282399,0.0005200307297867703,0.019496336250652023,0.10665360455197481,100
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,adaptive,0.008558693307753964,0.00024278631526214318,0.007673122733911855,0.05190690627171713,100
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,add-half,0.25970399037711406,0.00020277182974702668,0.2594742569820121,1.575057103013944,100
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,add-one,0.4649109354980161,0.0002739636819264358,0.46486375656922635,2.8195996147833426,100
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,cesaro,0.03589506788771102,0.0006063007074424397,0.034379836879000356,0.2176970078804348,100
100,2000,2,40,10.0,21.46,26.984591512495992,0.1648854443944658,oracle,0.06816751846180863,0.002345185644814081,0.07342483007413915,0.4134235057081642,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,MLE,0.030712176198226526,0.003834914703938025,0.00397646146928264,0.16586701860133996,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,adaptive,0.020967957909923715,0.007114284500892789,0.005795829155593554,0.11324149230682848,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,add-half,0.22244518352907294,0.04690180932393524,0.10253274916126207,1.2013580267335728,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,add-one,0.35008721000343274,0.05531215589670717,0.1954191131698434,1.890713357429999,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,cesaro,0.04348375059424073,0.016283846802527473,0.017349407685299238,0.23484236421798857,100
100,2000,2,40,8.0,19.72,31.008202866963217,0.1851614411183395,oracle,0.07984772916201126,0.02366616909091947,0.030718162690125873,0.43123302929457846,100
100,2000,2,40,7.0,19.61,33.58818055790853,0.1978829916220031,MLE,0.020046088397119913,0.004417091158683783,0.009974956570553799,0.10130273568641025,100
